상권_코드_명,엑스좌표_값,와이좌표_값,영역_면적,서비스_업종_코드_명,유사_업종_점포_수,당월_매출_금액,월_평균_소득_금액,상권_변화_지표,운영_영업_개월_평균,총_상주인구_수,총_유동인구_수
배화여자대학교(박노수미술관),197093,453418,149264,커피-음료,1.7418801586450852,75078141.23,3443668.0,LL,71,337.52277843284384,86495.53810697825
평창동서측,197064,456643,369415,커피-음료,0.2706982661776051,66883562.8,4492856.0,LH,101,81.61552725254795,3554.9449805773993
중앙고등학교,198883,453690,166872,커피-음료,1.0187449062754685,24590730.88,3430192.0,LH,102,173.60611726353133,26638.44144014574
창덕궁,199222,452926,40999,커피-음료,3.902534208151418,57024407.25,2496875.0,HH,134,66.09917315056465,142880.31415400375
서울국제고등학교,199598,454302,133692,커피-음료,0.7479879125153338,3833109.4,2736810.0,LL,103,306.45064775753224,152474.34401460073
세검정초등학교,196389,455998,191570,커피-음료,0.20880096048441824,4997504.75,3474789.0,HH,124,152.73790259435194,27455.02949313567
동묘앞역 2번,201699,452879,95779,커피-음료,0.4176280813121874,14106098.25,2251484.0,HL,135,402.07143528330846,144466.84555069482
성곡미술관,197292,452641,124348,커피-음료,1.6083893588960014,22541558.05,5448355.0,HH,125,154.08370058223693,49704.78013317464
경복고등학교,197484,453952,63411,커피-음료,0.7885067259623725,4337498.4,5290159.0,HH,111,144.45443219630664,9180.583810379901
청와대사랑채,197585,453623,69399,커피-음료,0.43228288592054637,85234720.0,3980058.0,HL,145,96.8313664462024,10362.108964106112
평창동동측,197827,457040,522818,커피-음료,0.11476268988443397,12290646.17,4884771.0,HH,117,38.02470458170912,768.6231155009965
부암동주민센터,196701,454714,91486,커피-음료,0.32791902586188054,21237992.67,3963935.0,LH,105,73.34455545110727,865.3783092495026
사직공원(한국사회과학도서관),196895,452714,80252,커피-음료,0.6230374320889199,196636.8,2770422.0,HH,112,258.3113193440662,112301.50027413646
경향신문사,197253,451928,36893,커피-음료,2.439487165586968,80830306.89,1554706.0,HH,129,4.065811942644946,7460.764914753476
성균관대학교,199759,453776,77655,커피-음료,1.4165217951194387,33380521.36,2902668.0,HL,119,238.36198570600732,191448.071598738
경신고등학교,199921,454166,60182,커피-음료,0.9969758399521451,15657857.5,3478003.0,HH,114,251.40407430793258,89278.02332923467
서울대병원,200139,453265,15969,커피-음료,4.383493017721836,78113024.0,3548230.0,HH,116,426.45124929551,314550.06575239525
혜회동주민센터,200121,454192,52850,커피-음료,1.8921475875118259,11722975.6,3655720.0,HH,115,185.43046357615896,48618.54304635761
혜화역 1번,200507,453618,117673,커피-음료,1.0197751395817223,17642321.25,2786575.0,LH,69,254.85880363379874,34311.77925267479
이화달팽이길,200575,452995,159124,커피-음료,1.1311932832256604,6668735.0,2461097.0,HH,110,281.22721902415725,145288.39144315125
동대문역 1번,200934,452953,153230,커피-음료,0.39156823076421066,408725.17,2098071.0,HH,110,400.2479932128173,179106.4412973961
황학코아루아파트,202013,451863,30230,커피-음료,0.9923916639100231,8392267.67,3108300.0,HH,114,453.5229904068806,254431.69037380087
성심여자고등학교,195949,448136,135620,커피-음료,0.5161480607580003,16390348.57,2911566.0,HH,136,296.5639286240968,118494.54357764342
새남터성지,196084,447363,56970,커피-음료,0.70212392487274,14565513.75,3266131.0,HH,115,334.03545725820607,113069.5102685624
중구회현체육센터(정화예술대남산캠퍼스),198420,450734,76242,커피-음료,1.0492904173552635,43871192.5,2645687.0,HH,158,142.17885155163822,20684.006190813463
남산케이블카,198659,450764,130560,커피-음료,0.6893382352941176,12884859.33,2435163.0,LL,97,58.59375,25173.253676470587
남산골공원옆,199565,450784,72607,커피-음료,0.8263666037709863,1875458.67,3232386.0,LH,108,128.63773465368354,37889.872877270784
충무초등학교,200090,451226,110058,커피-음료,1.0903341874284467,9006711.08,2824585.0,HH,136,187.08317432626433,76933.25337549292
장충단 고개,200898,450889,70693,커피-음료,2.1218508197417,15575774.4,2908231.0,LH,96,291.8252160751418,89330.34388128952
청구역 3번,201174,450806,69155,커피-음료,1.1568216325645289,21081020.25,3171413.0,LL,96,284.7227243149447,150512.9057913383
신당역 3번,201855,451480,129607,커피-음료,0.8487195907628446,9054897.55,2376257.0,LL,94,419.2674778368452,122437.0597267123
후암동주민센터,198162,450065,293041,커피-음료,1.1602472009036278,17561757.15,3120023.0,LH,101,358.1751359024846,66573.38051671951
해방촌예술마을,198518,449757,134562,커피-음료,1.1147277834752753,3000000.0,2584702.0,LL,94,321.33886238313937,124311.61843611124
해방촌 남동측,198634,449401,105010,커피-음료,2.666412722597848,5246039.5,2556761.0,LL,75,371.1075135701362,150744.50052375963
한양공고앞 교차로,200997,451576,44893,커피-음료,0.6682556300536832,1317838.0,2461144.0,LH,96,275.3213195821175,209997.54972935648
효창공원앞역 6번,196339,448750,94719,커피-음료,0.5278771946494367,2042286.6,2822548.0,LH,109,366.66349940349875,76606.59424191556
효창동주민센터,196409,449179,100249,커피-음료,0.5985097108200581,3623688.67,2979262.0,LH,95,372.7717982224261,130669.63261478918
한강로동땡땡거리(은행나무길),196643,447278,132684,커피-음료,2.261011124174731,20796005.9,2774795.0,LH,106,101.29329836302794,61515.17892134696
효창공원앞역 5번,196702,448664,110329,커피-음료,0.7251040071060193,2058796.88,3009124.0,HH,137,223.24139618776567,76721.17031786747
효창공원앞역 2번,196816,449203,131550,커피-음료,0.6841505131128849,11706549.67,3243655.0,HH,122,214.06309388065372,99599.46788293424
용산구청,199212,448107,71140,커피-음료,3.0924936744447566,63643848.77,2938264.0,LH,83,146.19061006466123,49916.64323868428
서빙고역 1번,199271,446786,58652,커피-음료,0.8524858487349111,7486227.6,2562932.0,HH,110,138.61419900429652,17219.87315010571
경리단길북측,199236,449136,225725,커피-음료,0.886033890796323,4673138.35,2766235.0,LL,83,177.56119171558313,45149.27455975191
경리단길남측,199260,448806,181830,커피-음료,1.6498927569707968,25397506.47,2990558.0,LL,94,140.5708628939119,71209.26139800913
서울역 15번,197079,450403,133737,커피-음료,1.0468307199952145,17415239.71,2448662.0,LH,108,237.3314789474865,111690.10819743229
배문고등학교,197116,449954,204936,커피-음료,0.4879572159113089,14594163.7,2637062.0,HH,120,406.37076941093807,105641.51735175861
남영역 1번,197107,449013,145312,커피-음료,1.1698964985685971,24375019.24,3433048.0,HH,111,206.52114071790353,117524.9119136754
숙대입구,197161,449524,173542,커피-음료,3.342130435283678,20772701.36,2684434.0,LL,97,285.4064145855182,134439.5016768275
서울역 12번,197716,450166,105922,커피-음료,1.6049545892260342,40629736.41,2756400.0,LH,101,265.47837087668285,71703.70650101018
숙대입구역 1번,197679,449714,128905,커피-음료,0.8533416081610488,52154129.91,2703737.0,HH,122,265.7771226872503,74648.5396222024
삼각지역 14번,197737,448386,8989,커피-음료,4.449883190566248,52986876.75,2029858.0,HH,126,35.59906552452998,86117.47691623094
삼광초등학교,197919,449884,45797,커피-음료,0.6550647422320239,72034586.33,2851272.0,HH,112,298.7095224578029,121864.53261130641
상왕십리역 6번,202454,451618,51942,커피-음료,1.1551345731777751,6310560.33,2722217.0,LH,92,409.11016133379536,191949.28959223747
이태원엔틱가구거리,199502,448055,52542,커피-음료,0.9516196566556279,97342841.0,2513895.0,HH,122,341.44113280803924,40012.56137946785
한국폴리텍대학서울정수캠퍼스,199734,447571,97059,커피-음료,0.41212046281127973,19698006.25,3058691.0,LL,98,211.72688776929496,73826.84758754984
리움미술관,199856,448602,55141,커피-음료,1.088119548067681,68222942.67,5476727.0,LL,73,30.648700603906352,41944.288279138935
우사단길,200024,448092,234768,커피-음료,0.5537381585224562,24442782.77,2777443.0,LL,102,274.0151979826893,101235.51761739248
오산중학교,200102,447300,21603,커피-음료,1.3886960144424385,9746737.33,2253555.0,HH,124,172.1983057908624,27919.733370365226
한강진역 3번,200198,448658,149192,커피-음료,1.4746098986540834,12992238.82,4339790.0,LL,66,166.89902943857578,32508.110354442597
한남힐사이드아파트,200260,449313,50068,커피-음료,0.9986418470879603,36148354.8,3453789.0,LL,92,215.70663897099942,50582.60765359112
옥수역 6번,201423,449294,34682,커피-음료,2.5950060550141285,18279543.78,2847836.0,LL,98,286.89233608211754,135988.12063894817
금호삼성래미안아파트,202316,450083,29788,커피-음료,3.3570565328320128,3171595.7,2494346.0,LL,104,168.85994360145025,110388.07573519538
성원어린이공원,204438,450088,70693,커피-음료,2.2633075410578134,1500000.0,3039148.0,LH,74,238.6374888602832,24614.459706052934
성수동카페거리,204716,449234,131865,커피-음료,2.6542297046221517,21704813.26,2619989.0,LL,75,215.4476168809009,63356.463049330756
성수2가3동주민센터,204767,449989,76450,커피-음료,2.092871157619359,3703242.25,2818946.0,LH,96,250.88293001962066,67644.34270765206
경수초등학교,205299,449009,260628,커피-음료,1.6498611047163008,6524332.49,2669023.0,LL,83,103.40408551652163,45499.25564405973
금동어린이공원,202076,449956,69009,커피-음료,1.0143604457389617,13641927.57,2365874.0,HL,117,434.29117941138117,117660.59499485575
금북초등학교,202140,450763,21366,커피-음료,1.4040999719180005,125641.0,2365668.0,LH,103,505.94402321445284,86116.72751099878
금호사거리,202203,449734,22191,커피-음료,1.35189941868325,1520422.33,2369658.0,HH,124,121.22031454193142,29981.974674417557
행당역 2번,202776,451078,68591,커피-음료,1.0205420536221954,11983090.43,2622180.0,HH,124,420.0259509265064,111388.66615153592
성수119안전센터,205062,448509,222826,커피-음료,0.7180490607020724,1562299.5,2610406.0,HL,112,285.15523323131055,68450.80915153527
성동세무서,205254,449984,136762,커피-음료,0.2924789049589798,10332667.5,2567089.0,HH,135,81.01665667363741,20816.162384288033
상왕십리역 3번,202799,451762,80878,커피-음료,1.607359232424145,10047675.31,2609932.0,HH,114,256.4356190805905,88881.03068819703
왕십리역 9번,203170,450924,63575,커피-음료,0.9437672040896579,36625609.0,4163150.0,HL,114,182.9335430593787,215071.64766024382
서울숲카페거리,203629,449746,34852,커피-음료,8.607827384368186,1100000.0,3108465.0,LL,44,343.73924021576954,113918.2830253644
한양대역 4번,203699,450806,29267,커피-음료,1.7084087880548058,69682825.4,2656203.0,LH,94,243.27741141900432,80438.37769501486
마장역 2번,203900,452033,80335,커피-음료,0.8713512167797348,26153649.57,2648703.0,HH,114,87.88199414949898,42306.46667081596
뚝섬역교차로,204001,450061,79596,커피-음료,1.7588823558972815,22408172.71,2380327.0,LH,92,103.64842454394693,29054.475099251216
사근동살곶이상점가,204116,451277,128923,커피-음료,0.8532224661231897,33654569.0,2481227.0,LH,102,322.20782947961186,81015.02447197164
서울숲역 1번,204113,449554,18531,커피-음료,2.6981814257190653,21985911.8,2683911.0,LH,50,293.02250283309047,163329.01624305217
성수1가1동주민센터,204367,449119,38774,커피-음료,2.0632382524372,7067339.12,3016480.0,LL,76,242.94630422448031,41889.926239232474
성원중학교,204412,448741,247340,커피-음료,0.8086035416835126,2824280.15,2435523.0,HH,112,338.40058219455,52982.69588420797
자양동우체국,207135,447836,115158,커피-음료,0.955209364525261,6643624.18,2628698.0,LL,99,518.1576616474756,129211.43125097691
중곡3동주민센터,207154,452135,166799,커피-음료,0.7793811713499482,7933751.15,2363691.0,HL,112,420.38621334660274,168616.95813524062
구의역 4번,207146,448388,210895,커피-음료,0.4267526494226985,5254337.33,2549359.0,LL,100,436.14120770999784,170373.8353208943
성수초등학교,205519,449630,330983,커피-음료,1.571077668641592,20714816.52,3333473.0,LH,106,50.33491146070946,45024.276171283724
송정체육공원,205936,450143,102074,커피-음료,0.9796814076062464,8632850.7,2292404.0,LL,102,346.51331387032934,95771.79301291221
건대입구역 6번,205807,448790,179746,커피-음료,0.8345109209662523,157950.73,2369396.0,LL,85,315.33386000244786,153415.37502920788
건대입구역 1번,205871,449295,67458,커피-음료,1.037682706276498,4948355.43,2282949.0,LL,91,445.61060215245044,279340.478519968
화양사거리,206028,449645,116892,커피-음료,1.3687848612394349,4082344.31,2456645.0,LL,105,453.4955343393902,179790.0626219074
어린이대공원역 4번,206355,449631,42830,커피-음료,1.634368433341116,39867.14,2488181.0,LL,97,468.36329675461127,92048.09712818118
장안초등학교,206431,449938,14956,커피-음료,2.0058839261834716,8718790.67,2340218.0,LL,83,424.57876437550146,168077.02594276544
신자초등학교,206474,448005,106885,커피-음료,0.8420264770547785,2863742.67,2667017.0,HH,117,381.8122280956168,128227.53426579968
능동우편취급국,206519,450742,157029,커피-음료,0.5731425405498347,4428023.33,2463450.0,LL,105,406.9948862948882,64525.91559520853
어린이대공원역 3번,206673,449538,45757,커피-음료,1.9669121664444786,10854162.67,2418795.0,LH,88,311.86485127958565,157289.37648884323
세종대학교,206730,450336,45957,커피-음료,0.8703788323867964,626686.25,2772298.0,HH,123,200.83991557325328,48984.703092020805
중곡1동 마을마당,206780,451324,159510,커피-음료,0.7523039307880384,3390070.58,2480827.0,LH,108,366.4973982822393,116925.02037489813
자양한강도서관,206813,447963,107574,커피-음료,0.9295926524996746,18770615.9,2491117.0,HH,109,437.55926153159686,125802.6102961682
군자역 5번,207110,450472,153696,커피-음료,0.4554445138455132,465444.29,2845498.0,LH,84,403.1334582552571,60310.35290443473
아차산역 1번,208044,450658,103458,커피-음료,1.1598909702487965,9364742.0,2557225.0,HL,111,491.0205107386572,78120.39668271183
푸른동산공원,208057,449077,96115,커피-음료,0.7282942308692713,2902383.71,2699984.0,LL,104,500.4421786401706,103252.3539509962
장로회신학대학교,209139,449838,45933,커피-음료,1.9593756123048789,4787167.67,3127430.0,LL,80,275.4011277295191,73403.2177301722
광나루역 1번,209122,449629,42085,커피-음료,1.1880717595342758,6081837.8,3221582.0,LH,103,187.24010930260187,93669.24082214564
광진정말공원,206980,448178,102102,커피-음료,0.8814714697067638,12339099.11,2491844.0,HL,112,468.3551742375272,160507.7275665511
광진구청,207007,448746,97314,커피-음료,1.2331216474505209,8821110.25,2754211.0,LL,96,401.278336107857,109659.45290502909
중곡역 3번,207394,452066,141901,커피-음료,0.6342450017970275,10450586.22,2356839.0,LL,106,358.5598410159196,49332.98567311013
군자역 4번,207315,450952,70945,커피-음료,0.5638170413700754,1922701.0,2769966.0,LL,85,568.327577701036,59105.08140108535
해오름공원,208142,450925,135318,커피-음료,0.8867999822640004,9773788.17,2380483.0,LL,107,474.1423905171522,87310.92685378145
성자초등학교,207457,447914,66483,커피-음료,1.353729524840937,17529900.56,2717384.0,LL,108,449.58861663884,88145.54096535957
국립정신건강센터,207575,451405,95687,커피-음료,0.8360592347967853,11867058.88,2515626.0,LL,99,469.23824552969575,80844.62884195345
구의1동주민센터,207558,449057,131620,커피-음료,1.063668135541711,7040920.93,2694438.0,LL,99,495.2134933900623,134427.97447196473
용마초등학교,207600,450940,154354,커피-음료,0.7774336913847391,3101559.25,2524917.0,HL,125,446.8948002643275,109507.81968721251
성동초등학교,207787,448123,75500,커피-음료,0.3973509933774835,25756953.0,2922750.0,HL,111,311.9205298013245,68352.58278145695
동대부여고,207834,449143,120727,커피-음료,1.159641173888194,8478071.5,2548061.0,LL,94,522.9981694235755,188105.3119848915
구남초등학교,208034,448444,49267,커피-음료,1.6238049810217794,38853092.25,2880147.0,LH,99,293.5027503196866,73073.6598534516
광진정보도서관,209612,449948,74699,커피-음료,1.8741884094833932,12401157.93,3838199.0,LL,104,148.99797855392976,30765.47209467329
한국의류시험연구원,202502,453159,43441,커피-음료,1.8415782325452914,5196362.12,2340603.0,LL,109,93.92048985980986,145515.52680647315
텃골근린공원,204578,453280,100623,커피-음료,0.695666000814923,1147312.71,2399037.0,LL,88,397.7221907516174,116688.62983612098
시립대앞사거리,204615,453829,29327,커피-음료,1.022948136529478,29633513.67,2272238.0,LL,94,283.3566338186654,185877.5190097862
제기동역 6번,202876,452949,159981,커피-음료,0.6250742275645232,20752724.9,2668899.0,LL,108,203.52416849500878,161682.51229833544
용두동신동아아파트,202873,452509,152517,커피-음료,0.3933987686618541,6952031.67,2865719.0,HH,111,115.98707029380331,53451.94306208488
고대앞사거리,203021,453940,101416,커피-음료,0.8874339354736925,220808.89,2677268.0,HL,115,202.53214482921825,101954.62254476611
동대문구청,203596,452957,115383,커피-음료,0.6933430401358953,10499892.38,2427681.0,HH,126,287.13068649627763,147074.5257100266
